Denominazione Comune,Codice ISTAT,Codice ISTAT Provincia
Agazzano,033001,033
Alseno,033002,033
Besenzone,033003,033
Bettola,033004,033
Bobbio,033005,033
Borgonovo Val Tidone,033006,033
Cadeo,033007,033
Calendasco,033008,033
Caorso,033010,033
Carpaneto Piacentino,033011,033
Castell'Arquato,033012,033
Castel San Giovanni,033013,033
Castelvetro Piacentino,033014,033
Cerignale,033015,033
Coli,033016,033
Corte Brugnatella,033017,033
Cortemaggiore,033018,033
Farini,033019,033
Ferriere,033020,033
Fiorenzuola d'Arda,033021,033
Gazzola,033022,033
Gossolengo,033023,033
Gragnano Trebbiense,033024,033
Gropparello,033025,033
Lugagnano Val d'Arda,033026,033
Monticelli d'Ongina,033027,033
Morfasso,033028,033
Ottone,033030,033
Piacenza,033032,033
Pianello Val Tidone,033033,033
Piozzano,033034,033
Podenzano,033035,033
Ponte dell'Olio,033036,033
Pontenure,033037,033
Rivergaro,033038,033
Rottofreno,033039,033
San Giorgio Piacentino,033040,033
San Pietro in Cerro,033041,033
Sarmato,033042,033
Travo,033043,033
Vernasca,033044,033
Vigolzone,033045,033
Villanova sull'Arda,033046,033
Zerba,033047,033
Ziano Piacentino,033048,033
Alta Val Tidone,033049,033
Albareto,034001,034
Bardi,034002,034
Bedonia,034003,034
Berceto,034004,034
Bore,034005,034
Borgo Val di Taro,034006,034
Busseto,034007,034
Calestano,034008,034
Collecchio,034009,034
Colorno,034010,034
Compiano,034011,034
Corniglio,034012,034
Felino,034013,034
Fidenza,034014,034
Fontanellato,034015,034
Fontevivo,034016,034
Fornovo di Taro,034017,034
Langhirano,034018,034
Lesignano de' Bagni,034019,034
Medesano,034020,034
Monchio Delle Corti,034022,034
Montechiarugolo,034023,034
Neviano Degli Arduini,034024,034
Noceto,034025,034
Palanzano,034026,034
Parma,034027,034
Pellegrino Parmense,034028,034
Roccabianca,034030,034
Sala Baganza,034031,034
Salsomaggiore Terme,034032,034
San Secondo Parmense,034033,034
Solignano,034035,034
Soragna,034036,034
Terenzo,034038,034
Tizzano Val Parma,034039,034
Tornolo,034040,034
Torrile,034041,034
Traversetolo,034042,034
Valmozzola,034044,034
Varano de' Melegari,034045,034
Varsi,034046,034
Sissa Trecasali,034049,034
Polesine Zibello,034050,034
Sorbolo Mezzani,034051,034
Albinea,035001,035
Bagnolo in Piano,035002,035
Baiso,035003,035
Bibbiano,035004,035
Boretto,035005,035
Brescello,035006,035
Cadelbosco di Sopra,035008,035
Campagnola Emilia,035009,035
Campegine,035010,035
Carpineti,035011,035
Casalgrande,035012,035
Casina,035013,035
Castellarano,035014,035
Castelnovo di Sotto,035015,035
Castelnovo ne' Monti,035016,035
Cavriago,035017,035
Canossa,035018,035
Correggio,035020,035
Fabbrico,035021,035
Gattatico,035022,035
Gualtieri,035023,035
Guastalla,035024,035
Luzzara,035026,035
Montecchio Emilia,035027,035
Novellara,035028,035
Poviglio,035029,035
Quattro Castella,035030,035
Reggiolo,035032,035
Reggio nell'Emilia,035033,035
Rio Saliceto,035034,035
Rolo,035035,035
Rubiera,035036,035
San Martino in Rio,035037,035
San Polo d'Enza,035038,035
Sant'Ilario d'Enza,035039,035
Scandiano,035040,035
Toano,035041,035
Vetto,035042,035
Vezzano sul Crostolo,035043,035
Viano,035044,035
Villa Minozzo,035045,035
Ventasso,035046,035
Bastiglia,036001,036
Bomporto,036002,036
Campogalliano,036003,036
Camposanto,036004,036
Carpi,036005,036
Castelfranco Emilia,036006,036
Castelnuovo Rangone,036007,036
Castelvetro di Modena,036008,036
Cavezzo,036009,036
Concordia sulla Secchia,036010,036
Fanano,036011,036
Finale Emilia,036012,036
Fiorano Modenese,036013,036
Fiumalbo,036014,036
Formigine,036015,036
Frassinoro,036016,036
Guiglia,036017,036
Lama Mocogno,036018,036
Maranello,036019,036
Marano sul Panaro,036020,036
Medolla,036021,036
Mirandola,036022,036
Modena,036023,036
Montecreto,036024,036
Montefiorino,036025,036
Montese,036026,036
Nonantola,036027,036
Novi di Modena,036028,036
Palagano,036029,036
Pavullo nel Frignano,036030,036
Pievepelago,036031,036
Polinago,036032,036
Prignano sulla Secchia,036033,036
Ravarino,036034,036
Riolunato,036035,036
San Cesario sul Panaro,036036,036
San Felice sul Panaro,036037,036
San Possidonio,036038,036
San Prospero,036039,036
Sassuolo,036040,036
Savignano sul Panaro,036041,036
Serramazzoni,036042,036
Sestola,036043,036
Soliera,036044,036
Spilamberto,036045,036
Vignola,036046,036
Zocca,036047,036
Anzola dell'Emilia,037001,037
Argelato,037002,037
Baricella,037003,037
Bentivoglio,037005,037
Bologna,037006,037
Borgo Tossignano,037007,037
Budrio,037008,037
Calderara di Reno,037009,037
Camugnano,037010,037
Casalecchio di Reno,037011,037
Casalfiumanese,037012,037
Castel d'Aiano,037013,037
Castel del Rio,037014,037
Castel di Casio,037015,037
Castel Guelfo di Bologna,037016,037
Castello d'Argile,037017,037
Castel Maggiore,037019,037
