Codice ISTAT Provincia,Denominazione Comune,Codice ISTAT,Provincia
33,Agazzano,33001,Piacenza
33,Alseno,33002,Piacenza
33,Besenzone,33003,Piacenza
33,Bettola,33004,Piacenza
33,Bobbio,33005,Piacenza
33,Borgonovo Val Tidone,33006,Piacenza
33,Cadeo,33007,Piacenza
33,Calendasco,33008,Piacenza
33,Caorso,33010,Piacenza
33,Carpaneto Piacentino,33011,Piacenza
33,Castell'Arquato,33012,Piacenza
33,Castel San Giovanni,33013,Piacenza
33,Castelvetro Piacentino,33014,Piacenza
33,Cerignale,33015,Piacenza
33,Coli,33016,Piacenza
33,Corte Brugnatella,33017,Piacenza
33,Cortemaggiore,33018,Piacenza
33,Farini,33019,Piacenza
33,Ferriere,33020,Piacenza
33,Fiorenzuola d'Arda,33021,Piacenza
33,Gazzola,33022,Piacenza
33,Gossolengo,33023,Piacenza
33,Gragnano Trebbiense,33024,Piacenza
33,Gropparello,33025,Piacenza
33,Lugagnano Val d'Arda,33026,Piacenza
33,Monticelli d'Ongina,33027,Piacenza
33,Morfasso,33028,Piacenza
33,Ottone,33030,Piacenza
33,Piacenza,33032,Piacenza
33,Pianello Val Tidone,33033,Piacenza
33,Piozzano,33034,Piacenza
33,Podenzano,33035,Piacenza
33,Ponte dell'Olio,33036,Piacenza
33,Pontenure,33037,Piacenza
33,Rivergaro,33038,Piacenza
33,Rottofreno,33039,Piacenza
33,San Giorgio Piacentino,33040,Piacenza
33,San Pietro in Cerro,33041,Piacenza
33,Sarmato,33042,Piacenza
33,Travo,33043,Piacenza
33,Vernasca,33044,Piacenza
33,Vigolzone,33045,Piacenza
33,Villanova sull'Arda,33046,Piacenza
33,Zerba,33047,Piacenza
33,Ziano Piacentino,33048,Piacenza
33,Alta Val Tidone,33049,Piacenza
34,Albareto,34001,Parma
34,Bardi,34002,Parma
34,Bedonia,34003,Parma
34,Berceto,34004,Parma
34,Bore,34005,Parma
34,Borgo Val di Taro,34006,Parma
34,Busseto,34007,Parma
