city,name,place_type,latitude,longitude
Agazzano,Agazzano,village,44.945661,9.518564
Alseno,Alseno,village,44.898364,9.961374
Alseno,Castelnuovo Fogliani,village,44.8753746,9.9738934
Besenzone,Besenzone,village,44.987157,9.9535782
Bettola,Bettola,village,44.7764457,9.6062795
Bettola,Ferrandi,village,44.801932,9.5728728
Bettola,Trabucchi,village,44.798067,9.5464065
Bettola,Costa,village,44.7950217,9.5736256
Bettola,Crocinito,village,44.8001925,9.5417631
Bettola,Cerro,village,44.7846827,9.5540629
Bettola,Bagnata Pradello,village,44.7931042,9.6036052
Bettola,Bagnata San Giovanni,village,44.7910486,9.6039257
Bettola,Colombello,village,44.7313924,9.6675823
Bobbio,Bobbio,village,44.769273,9.3862814
Borgonovo Val Tidone,Borgonovo Val Tidone,village,45.014362,9.443461
Borgonovo Val Tidone,Agazzino,village,45.0421551,9.5189799
Cadeo,Cadeo,village,44.975365,9.83107
Cadeo,Roveleto,village,44.9656602,9.8525379
Calendasco,Calendasco,village,45.0873218,9.5974792
Calendasco,Malpaga,village,45.0688189,9.6373868
Calendasco,Boscone Cusani,village,45.1090554,9.5593187
Calendasco,Cotrebbia Nuova,village,45.0715517,9.6306963
Caorso,Caorso,village,45.0495995,9.8743749
Caorso,Muradolo,village,45.0379412,9.8527401
Caorso,Fossadello,village,45.0436627,9.8083257
Carpaneto Piacentino,Carpaneto Piacentino,village,44.9152116,9.7880952
Carpaneto Piacentino,Magnano,village,44.8426571,9.7843535
Castell'Arquato,Castell'Arquato,village,44.8511798,9.8671175
Castel San Giovanni,Creta,village,45.0233431,9.3778913
Castel San Giovanni,Fontana Pradosa,village,45.0616561,9.4613622
Castelvetro Piacentino,Castelvetro Piacentino,village,45.1003347,9.9867161
Castelvetro Piacentino,Mezzano Chitantolo,village,45.1151109,9.9940939
Castelvetro Piacentino,San Giuliano Piacentino,village,45.0705789,9.9935058
Castelvetro Piacentino,San Pedretto,village,45.0758533,9.9614242
Cerignale,Cerignale,village,44.677853,9.350765
Coli,Coli,village,44.744756,9.414565
Coli,Perino,village,44.819436,9.502704
Corte Brugnatella,Marsaglia,village,44.7115979,9.3815158
Cortemaggiore,Cortemaggiore,village,44.9963532,9.9310724
Farini,Farini,village,44.7128373,9.5692864
Ferriere,Ferriere,village,44.6441441,9.4974568
Ferriere,Selva,village,44.5848684,9.482817
Fiorenzuola d'Arda,Baselicaduce,village,44.9440712,9.9402343
Gazzola,Gazzola,village,44.960062,9.548964
Gazzola,Tuna,village,44.9821864,9.5762555
Gazzola,Rivalta Trebbia,village,44.9523277,9.5865686
Gossolengo,Gossolengo,village,45.0011074,9.6162072
Gossolengo,Quarto,village,44.9969514,9.6622708
Gragnano Trebbiense,Gragnano Trebbiense,village,45.013163,9.568964
Gragnano Trebbiense,Sordello,village,45.0234844,9.5867328
Gragnano Trebbiense,Madonna del Pilastro,village,45.0327808,9.5781068
Gragnano Trebbiense,Centora,village,45.0407317,9.5517694
Gropparello,Gropparello,village,44.8327057,9.729894
Lugagnano Val d'Arda,Lugagnano Val d'Arda,village,44.821994,9.8284819
Monticelli d'Ongina,Monticelli d'Ongina,village,45.0895109,9.9331646
Monticelli d'Ongina,Fogarole,village,45.1062412,9.962946
Monticelli d'Ongina,Olza,village,45.1079655,9.9514414
Monticelli d'Ongina,San Nazzaro,village,45.0761073,9.8978258
Monticelli d'Ongina,San Pietro in Corte,village,45.0815105,9.9626661
Morfasso,Morfasso,village,44.7227486,9.7028607
Morfasso,Ca' Ruggeri,village,44.7064193,9.7311065
Morfasso,Salino,village,44.7051451,9.7338759
Morfasso,Casali,village,44.7006505,9.7529382
Morfasso,Rusteghini,village,44.7028689,9.7213862
Morfasso,Greghi,village,44.705145,9.7210512
Morfasso,Pedina,village,44.7123003,9.7393519
Ottone,Ottone,village,44.6232492,9.3326598
Ottone,Tartago,village,44.6523944,9.2844614
Piacenza,I Vaccari,village,44.9957764,9.744364
